INBOUND_DATE,PLANT_NAME,MATERIAL_NAME,NET_QUANTITY_MT,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_LOST_PERCENT,SHELF_LIFE_Timestamp,suggestion_to_outbound
2023-12-15,SINGAPORE-WAREHOUSE,MAT-0354,23.375,P-001,7,25,2024-07-15,2024-07-15
2023-12-22,SINGAPORE-WAREHOUSE,MAT-0413,1.375,P-001,7,20,2024-07-22,2024-07-22
2023-12-22,SINGAPORE-WAREHOUSE,MAT-0413,23.375,P-001,7,20,2024-07-22,2024-07-22
2023-12-22,SINGAPORE-WAREHOUSE,MAT-0413,24.75,P-001,7,20,2024-07-22,2024-07-22
2023-12-22,SINGAPORE-WAREHOUSE,MAT-0413,19.25,P-001,7,20,2024-07-22,2024-07-22
2023-12-22,SINGAPORE-WAREHOUSE,MAT-0413,5.5,P-001,7,20,2024-07-22,2024-07-22
2023-12-22,SINGAPORE-WAREHOUSE,MAT-0413,12.375,P-001,7,20,2024-07-22,2024-07-22
2023-12-23,SINGAPORE-WAREHOUSE,MAT-0105,24.75,P-001,3,15,2024-03-23,2024-03-23
2024-01-21,SINGAPORE-WAREHOUSE,MAT-0304,2.5,P-003,8,25,2024-09-21,2024-09-21
2024-01-21,SINGAPORE-WAREHOUSE,MAT-0304,20.0,P-003,8,25,2024-09-21,2024-09-21
2024-01-27,SINGAPORE-WAREHOUSE,MAT-0374,24.75,P-001,3,25,2024-04-27,2024-04-27
2024-01-27,SINGAPORE-WAREHOUSE,MAT-0374,20.625,P-001,3,25,2024-04-27,2024-04-27
2024-01-27,SINGAPORE-WAREHOUSE,MAT-0374,4.125,P-001,3,25,2024-04-27,2024-04-27
2024-02-10,SINGAPORE-WAREHOUSE,MAT-0109,24.75,P-001,8,10,2024-10-10,2024-10-10
2024-02-13,SINGAPORE-WAREHOUSE,MAT-0056,24.75,P-001,3,5,2024-05-13,2024-05-13
2024-03-14,SINGAPORE-WAREHOUSE,MAT-0237,24.772,P-001,8,5,2024-11-14,2024-11-14
2024-04-28,SINGAPORE-WAREHOUSE,MAT-0263,24.75,P-001,5,30,2024-09-28,2024-09-28
2024-05-10,SINGAPORE-WAREHOUSE,MAT-0175,24.75,P-001,5,20,2024-10-10,2024-10-10
2024-05-10,SINGAPORE-WAREHOUSE,MAT-0175,16.5,P-001,5,20,2024-10-10,2024-10-10
2024-05-10,SINGAPORE-WAREHOUSE,MAT-0175,8.25,P-001,5,20,2024-10-10,2024-10-10
2024-05-19,SINGAPORE-WAREHOUSE,MAT-0011,24.75,P-001,3,5,2024-08-19,2024-08-19
2024-05-19,SINGAPORE-WAREHOUSE,MAT-0011,4.125,P-001,3,5,2024-08-19,2024-08-19
2024-05-19,SINGAPORE-WAREHOUSE,MAT-0011,20.625,P-001,3,5,2024-08-19,2024-08-19
