BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,8887,133300,KG,418562,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0098,8715A,156575,KG,349162,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,9399,157875,KG,495728,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0261,P7905A,203875,KG,1451590,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V4933A,188850,KG,2005587,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V6666A,223450,KG,2373039,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V2490A,211500,KG,2246130,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V6324A,146925,KG,1560344,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V1368A,260900,KG,2770758,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V5554A,203950,KG,2165949,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V1211A,124500,KG,1322190,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V9895A,305925,KG,3248924,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V4276A,178425,KG,1894874,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V2118A,229450,KG,2436759,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0314,V4288A,307150,KG,3670443,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0314,V3829A,302925,KG,3619954,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0314,V5271A,308900,KG,3691355,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V2780A,169500,KG,1800090,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V2658A,340375,KG,3614783,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V1646A,473850,KG,5032287,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V2470A,290950,KG,3089889,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0144,V2128A,186900,KG,1984878,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V1630A,349375,KG,3755781,CNY
