BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY
12/31/2023,CHINA-WAREHOUSE,MAT-0045,SCRAP,164,KG,211,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0193,3142,12240,KG,71726,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0193,6734,2720,KG,15939,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0311,SCRAP,4142,KG,25018,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0374,5995C5416,1000,KG,6430,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,4374,2400,KG,15432,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,9044,2575,KG,16557,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0046,6216,10975,KG,70569,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0194,SCRAP,100,KG,314,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0257,SCRAP,5151,KG,10457,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,8366,9700,KG,47728,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,7680,1200,KG,3768,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0195,2156,15125,KG,47493,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,3959A,450,KG,3839,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,5148A,1200,KG,10236,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,7082A,950,KG,8104,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0082,7449A,2500,KG,21325,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0196,3198A,900,KG,7677,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3322A,6250,KG,53313,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,8958A,1125,KG,9596,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3314A,2500,KG,21325,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3532A,1250,KG,10663,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0047,3175A,5000,KG,42650,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0094,2542A,1800,KG,1674,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0258,SCRAP,10048,KG,58879,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,9061A,900,KG,2826,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,6906A,750,KG,2355,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,8447A,0,KG,17270,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,4875A,20000,KG,62800,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,1458B,1175,KG,3690,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0259,9226A,1200,KG,3768,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M6854B,1200,KG,5160,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M3678A,1375,KG,5913,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M8356B,6875,KG,29563,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M1528C,11000,KG,47300,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M2486A,15125,KG,65038,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M3791B,9625,KG,41388,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M9486B,16500,KG,70950,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0099,M9252C,15125,KG,65038,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0375,P9558A,225,KG,1287,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0375,P5154A,0,KG,396,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0312,P3115A,975,KG,3861,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0233,P5822A,600,KG,2376,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0233,P4793A,3000,KG,11880,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0233,P7722A,3000,KG,11880,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0377,P9024A,1325,KG,13338,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0377,P6717A,1100,KG,10296,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0197,P2939A,125,KG,638,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,1531,1125,KG,3533,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,4076,1350,KG,4239,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,5584,600,KG,1884,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,7994,325,KG,18291,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,8776,1300,KG,4082,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,6338,1075,KG,3376,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,1073,2650,KG,8321,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,2101,20525,KG,64449,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,7701,23325,KG,73241,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0198,7484,2500,KG,7850,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0100,SCRAP,4599,KG,27779,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0095,SCRAP,1631,KG,2251,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0095,SCRAP,25,KG,35,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0260,8509A,2400,KG,8976,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0204,4880A,9600,KG,35904,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0204,8331A,600,KG,2244,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0052,4755A,8400,KG,31416,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0412,1045A,4200,KG,15708,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0261,P9226A,0,KG,178,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0261,P3205A,1175,KG,9078,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0141,SCRAP,8298,KG,31033,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0313,P7592A,1500,KG,6336,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0313,P8966A,1025,KG,4059,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,T2455A,1175,KG,16861,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V8051A,875,KG,12556,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V7518A,100,KG,1435,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V2061A,675,KG,9686,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V4761A,525,KG,7534,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V2724A,125,KG,1794,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V6816A,1000,KG,14350,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V3118A,650,KG,9328,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V2011A,350,KG,5023,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V4008A,1300,KG,18655,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V3640A,1325,KG,19014,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V6558A,1500,KG,21525,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0199,V6789A,725,KG,10404,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0200,8656A,1200,KG,4488,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V5128A,1425,KG,15134,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V7560A,1450,KG,15399,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V8893A,1150,KG,12213,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V6677A,1100,KG,11682,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0142,V7073A,1250,KG,13275,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V1228A,100,KG,1062,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V5600A,1250,KG,13275,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0143,V5281A,3000,KG,31860,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0314,V5728A,3200,KG,38240,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V4024A,1450,KG,15588,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V6439A,300,KG,3225,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V4459A,1425,KG,15319,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V7020A,1075,KG,11556,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V8570A,1275,KG,13706,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V4616A,1450,KG,15588,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V6075A,1425,KG,15319,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V3108A,1500,KG,16125,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0145,V9093A,1500,KG,16125,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V8111A,725,KG,8722,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V6573A,1450,KG,17444,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V3022A,1450,KG,17444,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V8378A,575,KG,6917,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9426A,1400,KG,16842,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V5047A,1300,KG,15639,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V9246A,1425,KG,17143,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V5743A,1325,KG,15940,CNY
12/31/2023,CHINA-WAREHOUSE,MAT-0001,V2917A,1275,KG,15338,CNY
