OUTBOUND_DATE,PLANT_NAME,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,NET_QUANTITY_MT
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00001,25.5
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,25.5
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00003,25.5
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0428,CST-00004,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00006,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00008,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0325,CST-00009,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00010,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00011,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00011,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00012,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00013,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00014,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00015,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,0.08
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,1.38
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,1.3
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,22.0
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0266,CST-00019,9.63
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0317,CST-00020,13.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,17.88
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,6.88
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00021,3.0
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0142,CST-00022,15.0
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,4.13
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,19.25
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0007,CST-00023,1.38
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0055,CST-00024,12.38
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0339,CST-00025,0.35
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00026,0.1
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0143,CST-00027,0.05
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,0.55
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,1.03
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,0.03
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00028,1.4
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00029,22.5
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00030,22.5
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00025,0.2
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00025,0.05
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00025,0.1
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00031,3.0
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0056,CST-00032,0.5
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0390,CST-00033,5.5
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,5.0
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,22.5
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,17.38
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0206,CST-00034,0.13
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,0.65
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,15.13
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,21.95
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,1.38
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,1.18
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,0.98
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,1.25
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,4.13
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,1.3
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.2
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00021,9.0
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0195,CST-00026,0.08
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0195,CST-00026,0.03
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,22.0
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,0.6
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,1.28
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00008,0.88
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00008,24.75
2024/01/02,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00035,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0389,CST-00036,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00037,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00038,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00038,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0328,CST-00039,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00037,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00038,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0270,CST-00039,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0001,CST-00037,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00040,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00041,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0144,CST-00042,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00043,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00044,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00045,25.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00046,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00047,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00048,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00049,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0146,CST-00050,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00051,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00052,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0382,CST-00052,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0428,CST-00016,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00035,24.75
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,8.9
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00050,17.88
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00049,15.85
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,20.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,22.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0082,CST-00053,2.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00003,12.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00003,27.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00030,10.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00054,15.0
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0314,CST-00055,1.5
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,1.35
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,6.78
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,0.08
2024/01/03,CHINA-WAREHOUSE,Truck,MAT-0156,CST-00056,16.48
