PLANT_NAME,OUTBOUND_DATE,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,NET_QUANTITY_MT,Transfer_Cost
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0007,CST-00023,24.759999999999998,38.217
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0013,CST-00001,25.5,38.217
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0013,CST-00031,3.0,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0015,CST-00013,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0015,CST-00014,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0015,CST-00015,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0015,CST-00035,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0055,CST-00024,12.38,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0056,CST-00025,0.1,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0056,CST-00032,0.5,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0084,CST-00011,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0112,CST-00008,24.76,38.217
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0112,CST-00016,49.51,57.325
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0142,CST-00022,15.0,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0143,CST-00027,0.05,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0145,CST-00003,25.5,38.217
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0145,CST-00021,9.0,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0195,CST-00026,0.11,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0206,CST-00029,22.5,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0206,CST-00030,22.5,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0206,CST-00034,45.01,38.217
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0229,CST-00007,48.14,38.217
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0229,CST-00026,0.1,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0264,CST-00005,49.51,57.325
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0266,CST-00019,9.63,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0268,CST-00002,25.5,38.217
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0314,CST-00021,3.0,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0314,CST-00025,0.25,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0316,CST-00018,49.51,57.325
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0317,CST-00020,13.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0318,CST-00011,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0318,CST-00017,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0319,CST-00012,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0321,CST-00008,24.75,19.108
CHINA-WAREHOUSE,2024/01/02,Truck,MAT-0325,CST-00009,24.75,19.108
