OUTBOUND_YEAR,OUTBOUND_WEEK,PLANT_NAME,MODE_OF_TRANSPORT,CUSTOMER_NUMBER,MATERIAL_NAME,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,IS_HOLIDAY,NET_QUANTITY_MT
2023,49,SINGAPORE-WAREHOUSE,Marine,CST-01001,MAT-0050,P-001,6,0,49.5
2023,52,SINGAPORE-WAREHOUSE,Marine,CST-01002,MAT-0056,P-001,3,1,49.5
2023,52,SINGAPORE-WAREHOUSE,Marine,CST-01003,MAT-0210,P-001,3,1,6.875
2023,52,SINGAPORE-WAREHOUSE,Marine,CST-01003,MAT-0303,P-001,5,1,2.5
2023,52,SINGAPORE-WAREHOUSE,Marine,CST-01003,MAT-0345,P-001,6,1,1.25
2023,52,SINGAPORE-WAREHOUSE,Marine,CST-01004,MAT-0366,P-003,8,1,10.0
2024,1,CHINA-WAREHOUSE,Truck,CST-00001,MAT-0013,P-002,3,1,25.5
2024,1,CHINA-WAREHOUSE,Truck,CST-00002,MAT-0264,P-001,7,0,49.5
2024,1,CHINA-WAREHOUSE,Truck,CST-00002,MAT-0268,P-002,12,1,25.5
2024,1,CHINA-WAREHOUSE,Truck,CST-00003,MAT-0001,P-002,3,0,25.5
2024,1,CHINA-WAREHOUSE,Truck,CST-00003,MAT-0082,P-002,3,1,7.5
2024,1,CHINA-WAREHOUSE,Truck,CST-00003,MAT-0143,P-002,3,0,6.0
2024,1,CHINA-WAREHOUSE,Truck,CST-00003,MAT-0145,P-002,6,0,12.0
2024,1,CHINA-WAREHOUSE,Truck,CST-00003,MAT-0145,P-002,6,1,25.5
2024,1,CHINA-WAREHOUSE,Truck,CST-00003,MAT-0314,P-002,4,0,27.0
2024,1,CHINA-WAREHOUSE,Truck,CST-00004,MAT-0428,P-001,2,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00005,MAT-0264,P-001,7,1,49.51
2024,1,CHINA-WAREHOUSE,Truck,CST-00006,MAT-0415,P-001,8,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00007,MAT-0229,P-001,5,1,48.14
2024,1,CHINA-WAREHOUSE,Truck,CST-00008,MAT-0112,P-001,6,1,24.76
2024,1,CHINA-WAREHOUSE,Truck,CST-00008,MAT-0145,P-002,6,0,25.5
2024,1,CHINA-WAREHOUSE,Truck,CST-00008,MAT-0239,P-001,6,0,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00008,MAT-0321,P-001,3,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00008,MAT-0341,P-001,8,0,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00008,MAT-0382,P-001,6,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00008,MAT-0390,P-001,7,0,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00009,MAT-0325,P-001,6,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00010,MAT-0340,P-001,3,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00011,MAT-0056,P-001,3,0,24.76
2024,1,CHINA-WAREHOUSE,Truck,CST-00011,MAT-0084,P-001,3,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00011,MAT-0099,P-001,6,0,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00011,MAT-0318,P-001,2,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00012,MAT-0319,P-001,8,0,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00012,MAT-0319,P-001,8,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00013,MAT-0015,P-001,8,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00014,MAT-0015,P-001,8,1,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00014,MAT-0229,P-001,5,0,24.75
2024,1,CHINA-WAREHOUSE,Truck,CST-00015,MAT-0015,P-001,8,1,24.75
